ID,Group,Statistic,ROI,Test,iDXA BMD (g/cm2)
433,Ctrl,Mean,Tissue (%),Pre,21.25
434,Ctrl,Mean,Tissue (%),Test 1,20.96
435,Ctrl,Mean,Tissue (%),Test 2,20.66
436,Ctrl,Mean,Tissue (%),Test 3,20.82
437,Ctrl,Mean,Tissue (%),Test 4,21.24
438,Ctrl,Mean,Tissue (%),Post,22.07
439,Ctrl,SD,Tissue (%),Pre,8.19
440,Ctrl,SD,Tissue (%),Test 1,10.91
441,Ctrl,SD,Tissue (%),Test 2,10.83
442,Ctrl,SD,Tissue (%),Test 3,10.76
443,Ctrl,SD,Tissue (%),Test 4,10.79
444,Ctrl,SD,Tissue (%),Post,7.76
445,Ctrl,SEM,Tissue (%),Pre,2.47
446,Ctrl,SEM,Tissue (%),Test 1,3.29
447,Ctrl,SEM,Tissue (%),Test 2,3.27
448,Ctrl,SEM,Tissue (%),Test 3,3.24
449,Ctrl,SEM,Tissue (%),Test 4,3.25
450,Ctrl,SEM,Tissue (%),Post,2.34
451,Exer,Mean,Tissue (%),Pre,17.55
452,Exer,Mean,Tissue (%),Test 1,17.12
453,Exer,Mean,Tissue (%),Test 2,17.23
454,Exer,Mean,Tissue (%),Test 3,17.19
455,Exer,Mean,Tissue (%),Test 4,17.41
456,Exer,Mean,Tissue (%),Post,17.38
457,Exer,SD,Tissue (%),Pre,4.68
458,Exer,SD,Tissue (%),Test 1,4.63
459,Exer,SD,Tissue (%),Test 2,4.66
460,Exer,SD,Tissue (%),Test 3,6.16
461,Exer,SD,Tissue (%),Test 4,6.27
462,Exer,SD,Tissue (%),Post,5.15
463,Exer,SEM,Tissue (%),Pre,1.07
464,Exer,SEM,Tissue (%),Test 1,1.06
465,Exer,SEM,Tissue (%),Test 2,1.07
466,Exer,SEM,Tissue (%),Test 3,1.41
467,Exer,SEM,Tissue (%),Test 4,1.44
468,Exer,SEM,Tissue (%),Post,1.18
469,FLY,Mean,Tissue (%),Pre,15.28
470,FLY,Mean,Tissue (%),Test 1,14.37
471,FLY,Mean,Tissue (%),Test 2,14.22
472,FLY,Mean,Tissue (%),Test 3,14.16
473,FLY,Mean,Tissue (%),Test 4,14.27
474,FLY,Mean,Tissue (%),Post,14.14
475,FLY,SD,Tissue (%),Pre,5.50
476,FLY,SD,Tissue (%),Test 1,5.18
477,FLY,SD,Tissue (%),Test 2,5.01
478,FLY,SD,Tissue (%),Test 3,5.12
479,FLY,SD,Tissue (%),Test 4,5.11
480,FLY,SD,Tissue (%),Post,5.06
481,FLY,SEM,Tissue (%),Pre,1.94
482,FLY,SEM,Tissue (%),Test 1,1.83
483,FLY,SEM,Tissue (%),Test 2,1.77
484,FLY,SEM,Tissue (%),Test 3,1.81
485,FLY,SEM,Tissue (%),Test 4,1.81
486,FLY,SEM,Tissue (%),Post,1.79
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
